177,18,2010-12-19,Sochaux,Bordeaux,1,1,1,1,15,14,5,7,15,13,1,7,0,2,0,0,D
178,19,2010-12-21,Lorient,Montpellier,0,0,0,0,14,7,4,2,18,26,3,0,1,2,0,1,D
179,19,2010-12-22,Arles,Nice,0,0,0,0,10,11,2,1,12,14,4,6,1,2,0,0,D
180,18,2010-12-22,Bordeaux,Lens,2,2,0,2,18,7,9,3,17,19,13,3,2,4,1,0,D
181,19,2010-12-22,Brest,Marseille,0,0,0,0,5,13,1,2,10,21,5,5,0,3,0,1,D
182,18,2010-12-22,Caen,Rennes,1,0,1,0,8,15,3,4,18,13,2,5,1,1,0,0,H
183,19,2010-12-22,Lille,St Etienne,1,1,0,0,14,7,2,4,11,16,5,0,1,1,0,0,D
184,19,2010-12-22,Lyon,Auxerre,1,1,1,0,19,10,3,4,15,19,5,2,2,4,0,0,D
185,19,2010-12-22,Monaco,Sochaux,2,1,1,0,16,11,2,3,17,17,1,6,2,0,0,1,H
186,18,2010-12-22,Nancy,Paris SG,2,0,0,0,23,16,8,3,14,13,12,10,3,3,0,1,H
187,19,2010-12-22,Valenciennes,Toulouse,2,1,2,1,10,11,4,3,19,20,2,5,1,2,0,0,H
188,20,2011-01-15,Auxerre,Monaco,1,1,1,0,10,16,6,3,16,10,4,5,1,1,0,0,D
189,19,2011-01-15,Brest,Caen,1,3,1,1,24,15,9,7,18,17,4,2,2,3,0,1,A
190,19,2011-01-15,Lens,St Etienne,2,1,0,0,10,9,3,3,15,20,5,3,3,0,0,0,H
191,20,2011-01-15,Lyon,Lorient,3,0,1,0,20,8,11,2,23,13,5,2,1,3,0,0,H
192,20,2011-01-15,Montpellier,Valenciennes,2,1,0,0,15,10,6,6,17,17,3,5,1,0,1,1,H
193,20,2011-01-15,Nice,Lille,0,2,0,1,6,24,2,10,10,14,2,10,2,2,0,0,A
194,20,2011-01-15,Paris SG,Sochaux,2,1,2,1,10,7,3,4,16,21,7,2,2,3,0,0,H
195,20,2011-01-15,Rennes,Arles,4,0,2,0,13,7,8,1,9,20,8,4,1,2,0,1,H
196,19,2011-01-15,Toulouse,Nancy,1,0,1,0,10,14,4,3,21,18,3,5,0,3,0,0,H
197,20,2011-01-16,Marseille,Bordeaux,2,1,2,0,9,5,4,2,22,18,6,2,2,1,0,0,H
198,20,2011-01-19,Lille,Nancy,3,0,0,0,22,7,9,1,15,21,6,3,3,1,0,1,H
199,20,2011-01-22,Lens,Caen,2,0,1,0,12,7,6,3,18,16,1,1,0,0,0,0,H
200,21,2011-01-29,Arles,Paris SG,1,2,0,1,11,12,3,7,11,10,2,2,1,3,0,0,A
201,21,2011-01-29,Caen,Auxerre,2,0,0,0,16,12,6,4,12,18,6,2,1,3,0,0,H
202,21,2011-01-29,Lille,Lens,1,0,0,0,9,5,2,0,15,19,7,1,1,2,0,0,H
203,21,2011-01-29,Lorient,Brest,2,0,0,0,9,5,3,0,9,21,5,3,1,1,0,0,H
204,21,2011-01-29,Sochaux,Rennes,5,1,2,0,15,14,10,3,15,12,4,3,0,1,0,1,H
205,21,2011-01-29,St Etienne,Toulouse,2,1,2,0,9,9,5,5,22,18,1,6,3,2,0,0,H
206,21,2011-01-29,Valenciennes,Lyon,2,1,0,0,17,20,3,5,16,17,3,7,1,2,0,0,H
207,21,2011-01-30,Bordeaux,Nice,2,0,1,0,16,3,5,1,15,25,6,3,2,4,0,0,H
208,21,2011-01-30,Monaco,Marseille,0,0,0,0,11,10,4,1,12,17,4,9,2,2,0,0,D
209,21,2011-01-30,Nancy,Montpellier,1,2,1,1,16,14,11,5,15,20,7,5,0,2,0,0,A
210,22,2011-02-05,Brest,Nancy,2,1,1,0,14,10,5,4,23,14,6,5,1,2,0,0,H
211,22,2011-02-05,Caen,Lorient,0,2,0,1,12,12,4,8,16,14,8,6,1,2,0,0,A
212,22,2011-02-05,Lens,Valenciennes,1,1,1,1,13,8,4,2,17,15,5,3,2,5,0,0,D
213,22,2011-02-05,Marseille,Arles,1,0,0,0,13,13,5,2,12,25,5,7,0,1,0,0,H
214,22,2011-02-05,Montpellier,St Etienne,1,2,0,2,14,7,4,5,16,22,2,3,3,3,0,0,A
215,22,2011-02-05,Nice,Sochaux,1,0,1,0,15,10,8,1,17,28,7,5,3,2,0,1,H
216,22,2011-02-05,Rennes,Paris SG,1,0,1,0,17,13,5,5,11,20,4,7,0,2,0,0,H
217,22,2011-02-06,Auxerre,Lille,1,1,0,1,8,8,3,1,20,14,7,3,3,2,0,0,D
218,22,2011-02-06,Lyon,Bordeaux,0,0,0,0,15,10,5,1,18,17,11,1,1,2,0,0,D
219,22,2011-02-06,Toulouse,Monaco,2,0,0,0,12,10,5,2,23,13,4,1,1,1,0,0,H
220,23,2011-02-12,Arles,Montpellier,0,0,0,0,7,14,0,4,16,20,4,6,2,1,0,0,D
221,23,2011-02-12,Bordeaux,Caen,1,2,0,1,19,6,6,4,17,24,15,3,0,5,0,0,A
222,23,2011-02-12,Monaco,Lorient,3,1,1,1,13,9,6,4,16,22,2,5,2,2,0,1,H
223,23,2011-02-12,Nancy,Auxerre,3,1,2,0,13,8,3,1,7,20,9,3,3,2,0,0,H
224,23,2011-02-12,Paris SG,Lens,0,0,0,0,17,10,4,0,12,26,3,2,1,2,0,0,D
225,23,2011-02-12,Sochaux,Marseille,1,2,1,1,13,14,2,7,14,23,5,7,0,2,0,0,A
